2026-01-30 01:27:52 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:27:57 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:03 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:08 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:13 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:18 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:23 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:28 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:33 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:38 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:43 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:48 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:54 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:28:59 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:04 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:09 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:14 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:19 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:24 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:29 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:34 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:40 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:45 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:50 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:29:55 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:00 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:05 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:10 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:15 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:21 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:26 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:31 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:36 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:41 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
2026-01-30 01:30:46 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
